,social_media,Suburb,age,pay,critically_analyze ,confidence_in_distinguish ,time,verify_the_accuracy ,confident_in_information 
2023/9/13 4:56,Twitter,Hurstville,19,$0-5,3,5,2,Frequently,5
2023/9/13 5:01,Others,Hurstville,18,$0 ,2,3,15,Occasionally,3
2023/9/13 5:01,Youtube,Newtown,18,$5-10,2,3,5,Frequently,3
2023/9/13 5:01,Others,Hurstville,19,$0 ,3,3,4,Occasionally,3
2023/9/13 5:02,Tiktok,Killara,18,$0 ,3,2,7,Occasionally,3
2023/9/13 5:06,Facebook,Glebe,19,$5-10,4,3,3,Frequently,5
2023/9/13 5:06,Tiktok,Burwood,20,$0 ,3,5,1,Frequently,5
2023/9/13 5:08,Others,Mascot,18,$10-15,2,5,2,Always,5
2023/9/13 5:09,Twitter,Zetland,19,$0 ,1,5,1,Frequently,5
2023/9/13 5:10,Youtube,Redfurn,21,$5-10,4,5,3,Always,5
2023/9/13 5:19,Instagram,Glebe,20,$0 ,4,3,3,Frequently,3
2023/9/13 5:23,Others,Carlton ,16,$0 ,2,2,3,Occasionally,2
2023/9/13 5:23,Youtube,Hurstville ,19,$0-5,3,4,3,Frequently,3
2023/9/13 5:25,Youtube,Rockdale,20,$5-10,4,5,2,Occasionally,3
2023/9/13 5:27,Instagram,Holsworthy,20,$10-15,4,4,12,Occasionally,3
2023/9/13 5:46,Instagram,Camperdown,19,$0 ,1,3,5,Never,3
2023/9/13 5:53,Instagram,Mascot ,22,$0 ,5,3,8,Occasionally,4
2023/9/13 6:00,Instagram,Mascot,18,$0 ,2,4,11,Occasionally,3
2023/9/13 6:10,Facebook,Zetland,20,$5-10,3,5,1,Occasionally,3
2023/9/13 6:11,Tiktok,Newtown,23,$10-15,5,5,3,Always,5
2023/9/13 8:36,Instagram,Parramatta,18,$0 ,2,3,4,Occasionally,3
2023/9/13 8:39,Instagram,Oran park,19,$15-20,3,3,3,Frequently,3
2023/9/14 6:09,Instagram,Prestons ,17,$10-15,3,2,3,Occasionally,3
2023/9/14 6:40,Instagram,Campelltown ,20,$10-15,3,3,16,Occasionally,3
2023/9/14 10:33,Twitter,Newtown ,21,$25+,5,4,6,Frequently,4
2023/9/14 10:41,Others,Glebe,19,$0 ,5,5,2,Frequently,5
2023/9/14 10:41,Instagram,Newtown,21,$0 ,5,1,5,Occasionally,2
2023/9/14 10:41,Twitter,Mascot,20,$10-15,5,5,4,Always,5
2023/9/14 10:42,Others,Campelltowm ,32,$25+,5,5,5,Occasionally,4
2023/9/14 10:43,Instagram,Killara ,23,$10-15,3,3,5,Never,5
